"HEADWORD","DEFINITION","PART OF SPEECH","SEMANTIC GROUP","FREQUENCY RANK"
"ὁ ἡ τό","the","definite article","Pronouns/Interrogatives","1"
"αὐτός αὐτή αὐτό","him- her- itself etc. (for emphasis); the same (with article); (pron.) him, her, it etc. (in oblique cases)","adjective: 1st and 2nd declension","","2"
"καί","and, also, even; καί...καί both...and","conjunction: coordinating","Conjunctions/Adverbs","3"
"δέ","and; but","conjunction: coordinating","Particles","4"
"τίς τί","who? what? which? (interrog. pron./adj.)","pronoun","Pronouns/Interrogatives","5"
"εἰμί, ἔσομαι, impf. ἦν, infin. εἶναι","be, exist","verb: irregular","Humanity and Being","6"
"οὗτος αὕτη τοῦτο","this, these; μετὰ ταῦτα after this","pronoun","Pronouns/Interrogatives","7"
"ἤ","or; than (after a comparative); ἤ...ἤ either...or","conjunction: coordinating","Conjunctions/Adverbs","8"
"ἐν","in, among (+dat.)","preposition","Direction","9"
"μέν...δέ","on the one hand...on the other hand (often untranslated); μέν (by itself) indeed","conjunction: coordinating","Particles","10"
"τις τι","someone, something, anyone, anything, some, any (enclitic indef. pron./adj.)","pronoun","Pronouns/Interrogatives","11"
"ὅς ἥ ὅ","who, which, that","pronoun","Pronouns/Interrogatives","12"
"γάρ","for (explanatory), indeed, in fact (confirming)","conjunction: coordinating","Conjunctions/Adverbs","13"
"οὐ, οὐκ, οὐχ","not (with indicative verbs)","adverb","Conjunctions/Adverbs","14"
"λέγω, ἐρῶ, εἶπον, εἴρηκα, λέλεγμαι, ἐλέχθην and ἐρρήθην","say, speak (of), recount; pick up, collect, count","verb: -ω palatal stem","Writing and Talking","15"
"ὡς","as, since; (introducing purpose clause) so that (+subj./opt.); (introducing indir. statement) that","conjunction: subordinating","Conjunctions/Adverbs","16"
"τε","and; τε…τε both…and","conjunction: coordinating","Conjunctions/Adverbs","17"
"εἰς","into, to, towards (+acc.)","preposition","Direction","18"
"ἐπί","at (+gen.); on (+dat.); on to, against (+acc.)","preposition","Direction","19"
"κατά","down, down (from or along), throughout, according to; κατὰ γῆν by land; κατὰ φύσιν in accordance with nature; κατ’ ἔθνη by nations; καθ᾿ἕνα one by one.","preposition","Direction","20"
"ἐγώ ἐμοῦ, (pl.) ἡμεῖς, ἡμῶν","I, we","pronoun","Pronouns/Interrogatives","21"
"πρός","from the side of, in the presence of (+gen.); near, at, in addition to (+dat.); to, towards, in relation to (+acc.)","preposition","Direction","22"
"γίγνομαι, γενήσομαι, 2 aor. ἐγενόμην, γέγονα, γεγένημαι, ἐγενήθην","become; be born; happen, be","verb: deponent","Humanity and Being","23"
"ἐάν (εἰ-ἄν)","if (+subj.)","conjunction: subordinating","Conjunctions/Adverbs","24"
"διά","through, during, because of (+gen., acc.)","preposition","Prepositions without Direction","25"
"ἀλλά","but","conjunction: coordinating","Conjunctions/Adverbs","26"
"πᾶς πᾶσα πᾶν","every, all; whole (with article)","noun: 3rd declension irregular","Measurements and Numerals","27"
"ἔχω, ἕξω or σχήσω, 2 aor. ἔσχον, ἔσχηκα, impf. εἶχον","have, hold, keep","verb: -ω palatal stem","Taking and Giving","28"
"ἐκ, ἐξ","from, out of (+gen.)","preposition","Direction","29"
"πολύς πολλή πολύ","much, many; ὡς ἐπὶ τὸ πολύ for the most part","noun: 3rd declension irregular","Measurements and Numerals","30"
"περί","around, about; concerning (+gen.)","preposition","Direction","31"
"μή","not (marks the negative as subjective or conditional); εἰ μή if not, except","conjunction: subordinating","Conjunctions/Adverbs","32"
"ὅστις ἥτις ὅ τι","anyone who, anything which; (in indir. quest.) who, which, what","pronoun","Pronouns/Interrogatives","33"
"ἄν","[marks verbs as potential (with optative), or generalizing (with subjunctive)]","adverb","Particles","34"
"σύ, σοῦ, (pl.) ὑμεῖς, ὑμῶν","you","pronoun","Pronouns/Interrogatives","35"
"ἀνά","up, on; throughout","preposition","Direction","36"
"ὅτι","because, that; (with superl.) as...as possible","conjunction: subordinating","Conjunctions/Adverbs","37"
"εἰ","if (+indic. or opt.); εἴπερ if indeed","conjunction: subordinating","Conjunctions/Adverbs","38"
"ἄλλος ἄλλη ἄλλο","other, another","adjective: 1st and 2nd declension","Pronouns/Interrogatives","39"
"ἀπό","from (+gen.)","preposition","Direction","40"
"φημί, φήσω, impf. ἔφην","say, assert, declare; οὐ φημί deny, refuse, say that...not","verb: -μι","Writing and Talking","41"
"ὑπό","under (+gen., dat.); by (+gen. of personal agent); down under (+acc.)","preposition","Direction","42"
"ποιέω, ποιήσω, ἐποίησα, πεποίηκα, πεποίημαι, ἐποιήθην","make, produce, cause, do; (mid.) consider, reckon","verb: contracted","Work and Leisure","43"
"οὖν","therefore, accordingly; at any rate","adverb","Particles","44"
"λόγος λόγου, ὁ","word, speech, discourse; thought, reason, account","noun: 2nd declension","Writing and Talking","45"
"παρά","from (+gen.); beside (+dat.); to, to the side of, contrary to (+acc.)","preposition","Direction","46"
"οὕτως","in this way","adverb","Conjunctions/Adverbs","47"
"πρότερος προτέρα πρότερον","before, earlier; τὸ πρότερον previously, before","adjective: 1st and 2nd declension","Time","48"
"θεός θεοῦ, ὁ/ἡ","god, goddess","noun: 2nd declension","Religion","49"
"μετά","with (+gen.); after (+acc.)","preposition","Prepositions without Direction","50"
"ἑαυτοῦ ἑαυτῆς ἑαυτοῦ","him- her- itself (reflexive pron.)","pronoun","Pronouns/Interrogatives","51"
"μέγας μεγάλη μέγα","big, great, powerful","adjective: 1st and 2nd declension","Measurements and Numerals","52"
"οὐδέ","and not, but not, nor; οὐδέ...οὐδέ not even...nor yet","conjunction: coordinating","Conjunctions/Adverbs","53"
"ἐκεῖνος ἐκείνη ἐκεῖνον","that person or thing; ἐκεῖνος…οὗτος the former…the latter","pronoun","Pronouns/Interrogatives","54"
"τοιοῦτος τοιαύτη τοιοῦτο","such, of such a sort","adjective: 1st and 2nd declension","Pronouns/Interrogatives","55"
