"et"	"et"	"and"	"and"	"1.1"	"1"	"Conjunction"	"Logeion"	"http://logeion.uchicago.edu/index.html#et"	"1"
"sum esse fui futurus"	"sum esse fuī futūrus"	"to be"	"to be; exist; (also used to form verb perfect passive tenses) (+ nom. perfect participle)"	"1.1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#sum"	"2"
"–que"	"–que"	"and"	"and; both…and"	"1.1"	"1"	"Conjunction"	"Logeion"	"http://logeion.uchicago.edu/index.html#–que"	"3"
"qui quae quod"	"quī quae quod"	"who, which"	"some, any; what…, which...; who, which, that"	"1.1"	"1"	"Pronoun"	"Logeion"	"http://logeion.uchicago.edu/index.html#qui"	"4"
"in"	"in"	"in, on"	"in, on (+ abl.); into, onto; against (+ acc.)"	"1.1"	"1"	"Preposition"	"Logeion"	"http://logeion.uchicago.edu/index.html#in"	"5"
"is ea id"	"is ea id"	"he, she it; that"	"this, that; these"	"1.1"	"1"	"Pronoun"	"Logeion"	"http://logeion.uchicago.edu/index.html#is"	"6"
"hic haec hoc"	"hic haec hoc"	"this, these"	"this; these"	"1.1"	"1"	"Pronoun"	"Logeion"	"http://logeion.uchicago.edu/index.html#hic"	"7"
"ad"	"ad"	"to, up to, towards"	"toward, to; for the purpose of (+ acc.)"	"1.1"	"1"	"Preposition"	"Logeion"	"http://logeion.uchicago.edu/index.html#ad"	"8"
"non"	"nōn"	"not"	"not"	"1.1"	"1"	"Adverb"	"Logeion"	"http://logeion.uchicago.edu/index.html#nōn"	"9"
"sui sibi se se"	"suī sibi sē sē"	"himself, herself, itself (reflexive)"	"himself, herself, itself (reflexive)"	"1.1"	"1"	"Pronoun"	"Logeion"	"http://logeion.uchicago.edu/index.html#sui"	"10"
"ut or uti"	"ut or utī"	"so that; as, when; that; how? In what manner?"	"in order that (introduces Purpose clause); as; when; ; introduces Indirect Command) that; (introduces negative Fear clause) that…not"	"1.1"	"1"	"Conjunction"	"Logeion"	"http://logeion.uchicago.edu/index.html#ut"	"11"
"omnis omne"	"omnis omne"	"every; all"	"every; all"	"1.1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#omnis"	"12"
"ego mei mihi me me"	"egō meī mihi mē mē"	"I, me"	"I; me"	"1.1"	"1"	"Pronoun"	"Logeion"	"http://logeion.uchicago.edu/index.html#ego"	"13"
"ille illa illud"	"ille illa illud"	"that"	"that; those"	"1.1"	"1"	"Pronoun"	"Logeion"	"http://logeion.uchicago.edu/index.html#ille"	"14"
"a ab abs"	"ā ab abs"	"from, by"	"(away) from; by (agency) + abl."	"1.1"	"1"	"Preposition"	"Logeion"	"http://logeion.uchicago.edu/index.html#ab"	"15"
"tu tui tibi te te"	"tū tuī tibi tē tē"	"you"	"you"	"1.1"	"1"	"Pronoun"	"Logeion"	"http://logeion.uchicago.edu/index.html#tu"	"16"
"atque/ac"	"atque/ac"	"and, also"	"and in addition, or and besides; and, as well, and indeed; freq.; even; (in comparisons) as; than; repeated, atque — atque, both — and"	"1.1"	"1"	"Conjunction"	"Logeion"	"http://logeion.uchicago.edu/index.html#atque/ac"	"17"
"cum"	"cum"	"when; since; although"	"when; since; although"	"1.1"	"1"	"Conjunction"	"Logeion"	"http://logeion.uchicago.edu/index.html#cum"	"18"
"e ex"	"ē ex"	"out of, from"	"out of, from (+ abl.)"	"1.1"	"1"	"Preposition"	"Logeion"	"http://logeion.uchicago.edu/index.html#e"	"19"
